tanggal;Suhu Udara;Kelembapan Udara;Curah Hujan;Hujan
01/01/2023;27,5;79;25,2;Hujan
02/01/2023;28,1;81;0;Tidak Hujan
03/01/2023;28,4;77;0;Tidak Hujan
04/01/2023;28,8;75;0;Tidak Hujan
05/01/2023;29,1;72;0;Tidak Hujan
06/01/2023;29,1;72;0;Tidak Hujan
07/01/2023;28,1;75;0;Tidak Hujan
08/01/2023;28,4;81;9,5;Hujan
09/01/2023;29,1;79;21,3;Hujan
10/01/2023;28,7;78;8,5;Hujan
11/01/2023;30,2;71;1;Hujan
12/01/2023;28,4;77;9,1;Hujan
13/01/2023;29,8;68;1;Hujan
14/01/2023;29,7;72;0;Tidak Hujan
15/01/2023;29,9;72;0;Tidak Hujan
16/01/2023;29,3;76;0;Tidak Hujan
17/01/2023;28;82;10,9;Hujan
18/01/2023;28;78;1,3;Hujan
19/01/2023;28,6;78;6,5;Hujan
20/01/2023;28,9;77;0,3;Hujan
21/01/2023;29,4;74;0;Tidak Hujan
22/01/2023;28,8;80;16,6;Hujan
23/01/2023;29,5;78;25,5;Hujan
24/01/2023;29,1;79;0;Tidak Hujan
25/01/2023;28,7;81;2;Hujan
26/01/2023;27,2;84;23;Hujan
27/01/2023;28,2;80;0,9;Hujan
28/01/2023;25,9;90;6,1;Hujan
29/01/2023;27,4;82;11,5;Hujan
30/01/2023;29,1;80;3,8;Hujan
31/01/2023;28,9;80;0;Tidak Hujan
01/02/2023;28,2;78;13,2;Hujan
02/02/2023;27,5;84;1;Hujan
03/02/2023;27,7;81;4,9;Hujan
04/02/2023;26,9;86;0;Tidak Hujan
05/02/2023;29;75;4;Hujan
06/02/2023;28,3;76;0;Tidak Hujan
07/02/2023;28,3;81;7;Hujan
08/02/2023;27,7;80;4,5;Hujan
09/02/2023;27,9;81;3;Hujan
10/02/2023;28,5;83;33,6;Hujan
11/02/2023;27,2;85;0;Tidak Hujan
12/02/2023;27,7;82;1,7;Hujan
13/02/2023;27,7;78;3,6;Hujan
14/02/2023;28,1;80;14,7;Hujan
15/02/2023;27,6;82;17,8;Hujan
16/02/2023;27,5;84;23,8;Hujan
17/02/2023;27,3;83;19,8;Hujan
18/02/2023;28,4;80;1,4;Hujan
19/02/2023;27,8;83;65,8;Hujan
20/02/2023;28,3;77;15;Hujan
21/02/2023;29;78;9,5;Hujan
22/02/2023;27,5;84;56,2;Hujan
23/02/2023;27,7;82;0;Tidak Hujan
24/02/2023;29;77;3,8;Hujan
25/02/2023;28,8;75;0;Tidak Hujan
26/02/2023;27,8;81;3;Hujan
27/02/2023;27,3;80;0,1;Hujan
28/02/2023;28,2;79;6,8;Hujan
01/03/2023;27,1;80;7,6;Hujan
02/03/2023;25,7;90;2;Hujan
03/03/2023;28,4;79;13,7;Hujan
04/03/2023;29,3;76;0;Tidak Hujan
05/03/2023;28,7;77;0;Tidak Hujan
06/03/2023;28,5;80;45,2;Hujan
07/03/2023;28,7;77;0,2;Hujan
08/03/2023;28,1;81;0;Tidak Hujan
09/03/2023;28,6;77;10;Hujan
10/03/2023;29,6;77;0;Tidak Hujan
11/03/2023;29,9;74;0;Tidak Hujan
12/03/2023;30,1;75;0;Tidak Hujan
13/03/2023;29;75;0;Tidak Hujan
14/03/2023;28,3;74;0;Tidak Hujan
15/03/2023;28,8;80;0,2;Hujan
16/03/2023;29,7;76;3;Hujan
17/03/2023;29,6;74;0,1;Hujan
18/03/2023;28,5;79;0;Tidak Hujan
19/03/2023;29,7;76;0;Tidak Hujan
20/03/2023;29,5;78;5,5;Hujan
21/03/2023;29,4;76;14,3;Hujan
22/03/2023;28,7;78;2;Hujan
23/03/2023;30,6;70;0;Tidak Hujan
24/03/2023;29,2;79;0;Tidak Hujan
25/03/2023;29,3;78;4;Hujan
26/03/2023;28,8;78;0;Tidak Hujan
27/03/2023;28,2;81;0;Tidak Hujan
28/03/2023;28,2;80;0;Tidak Hujan
29/03/2023;29,2;76;0;Tidak Hujan
30/03/2023;28,6;79;25,2;Hujan
31/03/2023;27,4;82;7,4;Hujan
01/04/2023;27,4;82;12,4;Hujan
02/04/2023;27,3;83;0,1;Hujan
03/04/2023;28,7;80;6,9;Hujan
04/04/2023;29;76;0;Tidak Hujan
05/04/2023;28,3;82;0;Tidak Hujan
06/04/2023;28,4;82;0;Tidak Hujan
07/04/2023;28,8;77;30;Hujan
08/04/2023;28,7;79;0;Tidak Hujan
09/04/2023;28,9;78;33,5;Hujan
10/04/2023;28,3;78;11,1;Hujan
11/04/2023;29,7;74;3;Hujan
12/04/2023;29,8;76;5,4;Hujan
